9	2 Handed Kettlebell Swing
43	Barbell Hack Squats
182	Deadhang
208	Dumbbells on Scott Machine
237	Fly With Cable
279	Hand Grip
284	Hercules Pillars
354	Lat Pull Down (Leaning Back)
366	Leg Curls (sitting)
379	Leverage Machine Chest Press
380	Leverage Machine Iso Row
439	Overhand Cable Curl
493	Reverse Bar Curl
498	Reverse Grip Bench Press
501	Ring Dips
510	Rowing, Lying on Bench
576	Side Crunch
604	Speed Deadlift
624	Stationary Bike
627	Stiff-legged Deadlifts
672	Trunk Rotation With Cable
687	Overhead Press
688	Upper External Oblique
695	V-Bar Pulldown
713	Wall Pushup
722	Weighted Step-ups
801	Dumbbell Push-Up
802	Barbell Lunges Walking
908	Zone 2 Running
909	Reverse Nordic Curl
911	Incline Skull Crush
912	Straight Bar Cable Curls
913	Reverse Preacher Curl (Close Grip)
914	Reverse EZ Bar Cable Curls
915	Bus Drivers
916	Smith Press
917	Straight Bar Cable Front Raise
918	Seated Dumbbell Side Lateral
919	T-Bar row
922	Seated Cable Mid Trap Shrug
923	Lying Dumbbell Row SS Seated Shrug
926	Machine chest fly
927	Suspended crossess
959	TRX Rows
961	Swimming 50m sprints
976	Medicine ball booklet crunch
978	Knee Raises
979	Leg raises pull up bar
1022	Single Arm Plank to Row
1090	Vpushup
1098	Seated rear delt rise
1100	Wall balls
1101	Horizontal traction isometry
1102	Alternate back lunges
1104	Walking
1105	Seated Knee Tuck
1116	Dumbbell farmer's carry
1119	Remo maquina agarre estrecho
1120	Remo maquina agarre estrecho supino
1138	Incline bench pulldown
1143	Back extensión
1185	Triceps Pushdown
1186	One Arm Bent Row
1200	Tibialis raises
1204	Cycling cardio session
1223	Claps over the head
1240	Standing Soleus Stretch
1241	Exercise Band Dorsiflexion
1245	Front Lever
1252	Front lever pull-up
1273	Pullover
1274	Sitting Calf Stretch (Dorsiflexion)
1275	Plantarflexion Stretch with Band
1282	Isometria trazioni impugnatura inversa
1285	Talons fesses
1292	Reverse-grip pull-ups
1293	One armed push-ups
1294	Single-leg hamstring curl
1325	Lateral Push Off
1333	Forearm Curls (underhand grip)
1361	Double Kettlebell Front Squat
1363	Blackroll
1370	Dumbbell Deadlift
1372	Triceps Dips (Assisted)
1376	Recumbent Bike
1384	Pullover Machine
1406	Plank-to-Elbow Extension
1410	Plank with Alternating Leg Lift
1434	Lat Pull DB
1435	Scapula Pulls
1438	Clean
1439	Pin OHP
1446	Clean and Jerk OL
1458	Cross-Body Cable Y-Raise
1462	punches
1466	Calf Raise using Hack Squat Machine
1467	Incline Close Grip Barbell Bench Press
1469	Bent over Cable Flye
1470	1-Arm Half-Kneeling Lat Pulldown
1471	Kroc Row
1472	Cable Shrug-In
1473	Reverse Cable Flye
1489	Plank Jacks
1492	High Row
1493	Bayesian Curl
1497	DB Underhand bench press
1498	Elbows Tucked DB Bench Press
1502	DB Cross Body Hammer Curls
1503	Dumbbell Frog Press
1508	High-Incline Smith Machine Press
1510	Neutral Grip Lat Pulldown
1515	Leg Press Toe Press
1516	Handstand
1521	Pendular hack
1531	Cable Curls
1536	Delt Stretch
1537	Pull-up Isometric Hold
1546	Larsen Press
1574	Schwimmen
1575	Standing Dowel Shoulder press
1583	Supine press
1589	Leg and hip stretch
1591	Deep breathing (standing or seated)
1603	Leg curl with elastic
