9	2 Handed Kettlebell Swing
12	Seated Hip Adduction
20	Arnold Shoulder Press
31	Axe Hold
41	Barbell Ab Rollout
43	Barbell Hack Squats
46	Barbell Lunges Standing
48	Barbell Reverse Wrist Curl
51	Barbell Wrist Curl
56	Abdominal Stabilization
57	Bear Walk 2
71	Single Leg Extension
79	Bent High Pulls
81	Bent Over Dumbbell Rows
82	Bent-over Lateral Raises
84	Bent Over Rowing Reverse
94	Biceps Curls With SZ-bar
95	Biceps Curl With Cable
112	Body-Ups
124	Braced Squat
129	Chest Press
135	Butterfly
137	Butterfly Narrow Grip
139	Butterfly Reverse
142	Cable External Rotation
145	Cable Woodchoppers
148	Calf Raises on Hackenschmitt Machine
158	Close-grip Lat Pull Down
165	Ball crunches
172	Crunches on Machine
173	Crunches With Cable
178	Deadbug
182	Deadhang
186	Decline Bench Press Dumbbell
189	Deficit Deadlift
193	Diagonal Shoulder Press
197	Dips Between Two Benches
202	Dumbbell Concentration Curl
203	Dumbbell Goblet Squat
204	Dumbbell Incline Curl
205	Dumbbell Lunges Standing
206	Dumbbell Lunges Walking
208	Dumbbells on Scott Machine
211	Dumbbell Triceps Extension
222	Facepull
235	Flutter Kicks
237	Fly With Cable
245	Skullcrusher Dumbbells
246	Skullcrusher SZ-bar
257	Front Squats
258	Front pull wide
259	Front Pull narrow
260	Full Sit Outs
265	Glute Bridge
275	Hammercurls on Cable
279	Hand Grip
282	Handstand Pushup
284	Hercules Pillars
285	High Knee Jumps
289	High Pull
291	Hindu Squats
292	Hip Raise, Lying
294	Hip Thrust
310	Incline Dumbbell Row
312	Incline Plank With Alternate Floor Touch
314	Isometric Wipers
319	Jogging
323	Cable Cross-over
341	Squats on Multipress
346	Landmine press
349	Lateral Rows on Cable, One Armed
351	Lateral-to-Front Raises
364	Leg Curl
365	Leg Curls (laying)
366	Leg Curls (sitting)
367	Leg Curls (standing)
369	Leg Extension
371	Leg Press
373	Leg Presses (narrow)
374	Leg Presses (wide)
375	Leg Press on Hackenschmidt Machine
377	Leg Raises, Lying
379	Leverage Machine Chest Press
380	Leverage Machine Iso Row
382	L Hold
395	Long-Pulley, Narrow
397	Low Box Squat - Wide Stance
406	Lying Rotator Cuff Exercise
418	Military Press mit SZ-Bar
427	Negative Crunches
439	Overhand Cable Curl
441	Overhead Squat
445	Pause Bench
448	Pendelay Rows
468	Prone Scapular Retraction - Arms at Side
477	Pull Ups on Machine
478	Push Press
484	Rack Deadlift
487	Rear Delt Raises
490	Renegade Row
493	Reverse Bar Curl
498	Reverse Grip Bench Press
500	Reverse Plank
501	Ring Dips
505	Roman Chair Crunch
507	Romanian Deadlift
508	Row
510	Rowing, Lying on Bench
512	Rowing seated, narrow grip
513	Rowing, T-bar
516	Front Wood Chop
527	Run
529	Run - Interval Training
543	Shoulder Press, on Machine
545	Scissors
556	Side Bends on Machine
562	Shotgun Row
566	Shoulder Press, Barbell
567	Shoulder Press, Dumbbells
569	Shoulder Press, on Multi Press
572	Shrugs, Dumbbells
575	Shrugs on Multipress
576	Side Crunch
578	Side-lying External Rotation
584	Single-arm Preacher Curl
590	Sitting Calf Raises
595	Skipping - Standard
598	Smith Machine Close-grip Bench Press
599	Snatch
604	Speed Deadlift
614	Squat Jumps
621	Standing Bicep Curl
623	Standing Rope Forearm
624	Stationary Bike
627	Stiff-legged Deadlifts
628	Straight-arm Pull Down (bar Attachment)
629	Straight-arm Pull Down (rope Attachment)
630	Sumo Deadlift
636	Superman
650	Thruster
655	Tricep Dumbbell Kickback
659	Triceps Extensions on Cable
660	Triceps Extensions on Cable With Bar
661	Triceps on Machine
672	Trunk Rotation With Cable
674	Rowing with TRX band
675	Turkish Get-Up
683	Power Clean
684	Underhand Lat Pull Down
687	Overhead Press
688	Upper External Oblique
691	Upright Row, on Multi Press
693	Upright Row, SZ-bar
694	Upright Row w/ Dumbbells
695	V-Bar Pulldown
711	Wall Handstand
713	Wall Pushup
722	Weighted Step-ups
723	Wide-grip Pulldown
802	Barbell Lunges Walking
803	One Arm Triceps Extensions on Cable
804	Sloper hanging
820	Fingerboard 20 mm edge
821	Pullup on fingerboard
822	Cable Rear Delt Fly
909	Reverse Nordic Curl
910	Nordic Curl
911	Incline Skull Crush
912	Straight Bar Cable Curls
913	Reverse Preacher Curl (Close Grip)
914	Reverse EZ Bar Cable Curls
915	Bus Drivers
916	Smith Press
917	Straight Bar Cable Front Raise
918	Seated Dumbbell Side Lateral
919	T-Bar row
922	Seated Cable Mid Trap Shrug
923	Lying Dumbbell Row SS Seated Shrug
925	Smith Machine Slight Incline Press
957	Quadriped Arm and Leg Raise
961	Swimming 50m sprints
1012	Alternating bicep curls
1013	Left levator scapulae stretch
1014	Right levator scapulae stretch
1015	Clockwise neck circles
1016	Counterclockwise neck circles
1017	Neck half circles
1018	Head tilts
1027	Elevated prayer stretch
1028	Quadruped thoracic rotation left
1029	Quadruped thoracic rotation right
1080	Hindu Pushups
1081	Shoulder dislocates
1082	Bent over row to external rotation
1083	YWTs
1084	Dumbbell Floor Press
1086	Close-grip Press-ups
1087	Dumbbell Hang Power Cleans
1088	Dumbbell sumo deadlift
1093	Rowing Machine
1094	Seated Bench Press
1096	Abduction while standing
1098	Seated rear delt rise
1099	Dynamic side hold
1100	Wall balls
1104	Walking
1105	Seated Knee Tuck
1109	Cable Concentration Curl
1112	Push-Ups | Decline
1113	Push-Ups | Parallettes
1115	3D lunge warmup
1116	Dumbbell farmer's carry
1119	Remo maquina agarre estrecho
1120	Remo maquina agarre estrecho supino
1125	Wide-grip supinated lat pulldown
1127	Close-grip supinated lat pulldown
1131	Cable glute extension
1132	Machine glute extension
1136	Neutral-grip chest pulldown
1137	High-pulley pullover
1138	Incline bench pulldown
1141	Arabesque
1143	Back extensión
1185	Triceps Pushdown
1186	One Arm Bent Row
1188	Side bend
1193	Russian Twist
1194	Pallof Press
1195	Side Slides + Squats
1196	Wall Drills
1200	Tibialis raises
1201	Dragon squat
1202	Side Lying Hip Abduction
1203	Calf raises, left leg
1204	Cycling cardio session
1205	Wrist curl, dumbbells
1207	Scorpion Kick
1208	Prisoner Squat
1209	Shoulder width three-point push-up
1210	Skydiver with arms in T-position
1215	Reverse Snow Angel
1216	Recruitment Pulls
1217	Finger Pushup
1218	knee push-ups
1219	Australian pull-ups
1223	Claps over the head
1224	Dumbbell drag curls
1225	Dumbbell wide bicep curls
1226	Dumbbell bicep curl to press
1227	Dumbbell rear delt row
1228	Dumbbell close grip bench press
1230	Triceps stretch left
1231	Triceps stretch right
1232	Standing biceps stretch left
1233	Standing biceps stretch right
1234	Dumbbell Single-leg Hip Thrust
1238	Frog stand
1239	Standing Calf Stretch
1240	Standing Soleus Stretch
1241	Exercise Band Dorsiflexion
1242	Exercise Band Plantarflexion
1243	Double Leg Calf Raise
1246	TRX roll out
1252	Front lever pull-up
1259	TRX Obliques
1260	TRX hammer curl
1261	TRX gorilla biceps curl
1262	Trx Single Arm Bicep Curl
1263	Back bridge
1266	TRX Tricep Extension
1269	TRX dips
1270	Low Pulley Cable Fly
1273	Pullover
1274	Sitting Calf Stretch (Dorsiflexion)
1275	Plantarflexion Stretch with Band
1280	Biceps Close Grip Pull Down
1282	Isometria trazioni impugnatura inversa
1283	Incline Chest-Supported Dumbbell Row
1284	Pseudo Planche Push-up
1285	Talons fesses
1286	Dynamic Planche
1287	Reach ups
1288	Dynamic side plank
1289	Seated Dumbbell Curls
1290	Reverse Grip Barbell Curls
1292	Reverse-grip pull-ups
1294	Single-leg hamstring curl
1296	Low-Cable Cross-Over - NB
1298	High-Cable Cross Tricep Extention - NB
1302	JM Press
1303	Helms Row
1304	Meadows Row
1307	Front Plank
1312	Bodyweight Squat HD
1314	Jumping Jack HD
1318	High Knee Skips HD
1320	Bench Dips On Floor HD
1324	Bodyweight lunge HD
1325	Lateral Push Off
1333	Forearm Curls (underhand grip)
1336	Triceps Overhead (Dumbbell)
1338	Shoulder Raise (Dumbbell)
1348	Lower Back Extensions
1353	Dumbbell Hex Press
1360	Double Kettlebell Clean and Press
1361	Double Kettlebell Front Squat
1363	Blackroll
1366	Dumbbell Split Squat
1370	Dumbbell Deadlift
1372	Triceps Dips (Assisted)
1373	box jumps
1374	Rotary Torso Machine
1376	Recumbent Bike
1377	Torso Twist
1378	Cable Lateral Raises (Single Arm)
1380	Band pull-aparts
1381	Upper Back
1384	Pullover Machine
1387	Hamstring Kicks
1388	Single Leg RDL
1390	Toe Touch
1391	Elephant Walks
1392	Good Morning
1393	Single Leg Hamstring Stretch
1394	Sit & Reach
1395	Crossbody Leg Swings
1396	Standing Pancake
1397	Standing Pancake Good Morning
1398	Hamstring Chokes
1399	Roll Down
1400	Crossbody Hamstring Stretch
1407	Cossack squat
1408	Wall-sit
1409	Dragon-flag
1410	Plank with Alternating Leg Lift
1411	Heel Touches
1412	bicycle crunches
1414	Hack Squats
1415	Dumbbell Crunches
1424	Biceps Curl Machine
1425	Toe Taps
1426	Standing Side Crunches
1429	Dumbbell Shoulder Rotations
1430	Plate Pinch Hold
1433	Reverse Wood Chops
1434	Lat Pull DB
1435	Scapula Pulls
1436	Pin Bench Press BB
1437	Pin Squat
1438	Clean
1439	Pin OHP
1440	Push OHP
1441	Incline OHP DB
1442	Kreis Press DB
